article_id,entity_text,entity_type,attributed_sent,doc_sentiment,entity_doc_diff,n_sentences
art_003,government,ORGANIZATION,-0.07196436892263591,-0.016,0.05596436892263591,2
art_003,LGES,ORGANIZATION,-0.0330536091569229,-0.016,0.017053609156922903,4
art_003,Hyundai Motor,ORGANIZATION,0.005991097562703847,-0.016,0.021991097562703846,6
art_003,LGES,ORGANIZATION,-0.0330536091569229,-0.016,0.017053609156922903,4
art_003,South Korea,ORGANIZATION,-0.037129346755136794,-0.016,0.021129346755136794,8
art_003,Hyundai Motor,ORGANIZATION,0.005991097562703847,-0.016,0.021991097562703846,6
art_003,Hyundai-GA,ORGANIZATION,0.003819073550403118,-0.016,0.01981907355040312,1
art_003,DHS,ORGANIZATION,-0.06579871212791961,-0.016,0.049798712127919614,3
art_003,Hyundai Motor,ORGANIZATION,0.005991097562703847,-0.016,0.021991097562703846,6
art_003,Hyundai Motor,ORGANIZATION,0.005991097562703847,-0.016,0.021991097562703846,6
art_003,Schrank,PERSON,-0.009900835822918452,-0.016,0.006099164177081548,2
art_003,Hyundai Motor Group,ORGANIZATION,0.02347748281317763,-0.016,0.03947748281317763,1
art_003,LG Energy Solution,ORGANIZATION,-0.05351046992291231,-0.016,0.03751046992291231,2
art_003,LGES,ORGANIZATION,-0.0330536091569229,-0.016,0.017053609156922903,4
art_003,Hyundai,ORGANIZATION,0.0037486878012714443,-0.016,0.019748687801271446,10
art_003,Trump,PERSON,-0.09352549584582448,-0.016,0.07752549584582448,4
art_003,Trump,PERSON,-0.09352549584582448,-0.016,0.07752549584582448,4
art_003,Ice,ORGANIZATION,-0.08485877717612311,-0.016,0.06885877717612311,6
art_004,Hyundai Metaplant,ORGANIZATION,-0.17914352426305413,-0.129,0.05014352426305413,2
art_004,Trump administration,ORGANIZATION,-0.3528329529799521,-0.129,0.2238329529799521,1
art_004,Steven Schrank,PERSON,-0.03332327477983199,-0.129,0.09567672522016801,1
art_004,Homeland Security Investigations,ORGANIZATION,-0.0243821910553379,-0.129,0.1046178089446621,2
art_004,Schrank,PERSON,-0.04402311458155358,-0.129,0.08497688541844642,6
art_004,Schrank,PERSON,-0.04402311458155358,-0.129,0.08497688541844642,6
art_004,US Attorney’s Office for the Southern District of Georgia,ORGANIZATION,-0.14455701858969405,-0.129,0.01555701858969405,1
art_004,Schrank,PERSON,-0.04402311458155358,-0.129,0.08497688541844642,6
art_004,Hyundai,ORGANIZATION,-0.016331782360794023,-0.129,0.11266821763920598,6
art_004,CNN,ORGANIZATION,-0.15433075621258469,-0.129,0.025330756212584682,5
art_004,Hyundai Motor Company,ORGANIZATION,-0.14458356413524598,-0.129,0.015583564135245975,1
art_004,Hyundai,ORGANIZATION,-0.016331782360794023,-0.129,0.11266821763920598,6
art_004,Hyundai Motor North America,ORGANIZATION,-2.2472813725471497e-05,-0.129,0.12897752718627453,1
art_004,Chief,PERSON,-2.2472813725471497e-05,-0.129,0.12897752718627453,1
art_004,Officer,PERSON,-0.12028420080120365,-0.129,0.00871579919879635,3
art_004,Chris Susock,PERSON,-2.2472813725471497e-05,-0.129,0.12897752718627453,1
