api,article_id,timestamp,status,entities_found,keyphrases_found,truncated,original_chars,chars_sent,opinions_found
AWS,art_058,2026-05-23T00:24:50.946000,success,24,73,False,1626,1626,
Google,art_058,2026-05-23T00:24:53.231160,success,64,15,False,1626,1626,
Azure,art_058,2026-05-23T00:24:54.607621,success,39,50,False,1626,1626,0.0
AWS,art_059,2026-05-23T00:24:56.791899,success,54,105,False,2495,2495,
Google,art_059,2026-05-23T00:24:58.292960,success,72,15,False,2495,2495,
Azure,art_059,2026-05-23T00:25:01.085229,success,67,61,False,2495,2495,1.0
AWS,art_060,2026-05-23T00:25:03.764144,success,67,185,True,4854,4504,
Google,art_060,2026-05-23T00:25:05.606753,success,150,15,True,4854,4504,
Azure,art_060,2026-05-23T00:25:09.838403,success,93,101,True,4854,4504,2.0
AWS,art_061,2026-05-23T00:25:12.946539,success,69,164,False,3857,3857,
Google,art_061,2026-05-23T00:25:15.544140,success,132,15,False,3857,3857,
Azure,art_061,2026-05-23T00:25:18.434146,success,91,91,False,3857,3857,0.0
AWS,art_062,2026-05-23T00:25:21.430810,success,78,194,True,6194,4739,
Google,art_062,2026-05-23T00:25:24.144613,success,171,15,True,6194,4739,
Azure,art_062,2026-05-23T00:25:28.401237,success,116,115,True,6194,4739,0.0
AWS,art_063,2026-05-23T00:25:31.914160,success,70,161,False,3777,3777,
Google,art_063,2026-05-23T00:25:34.381906,success,121,15,False,3777,3777,
Azure,art_063,2026-05-23T00:25:38.516848,success,86,95,False,3777,3777,2.0
AWS,art_064,2026-05-23T00:25:41.355157,success,59,181,False,4232,4232,
Google,art_064,2026-05-23T00:25:44.109034,success,146,15,False,4232,4232,
Azure,art_064,2026-05-23T00:25:46.996073,success,97,102,False,4232,4232,2.0
AWS,art_065,2026-05-23T00:25:50.252825,success,53,125,False,3099,3099,
Google,art_065,2026-05-23T00:25:52.638970,success,96,15,False,3099,3099,
Azure,art_065,2026-05-23T00:25:54.451697,success,72,81,False,3099,3099,1.0
